QUEST_20150317_000001	請選擇要修改任務的玩家。
QUEST_20150317_000001	請選擇要修改任務的玩家。
QUEST_20150317_000002	瓦卡麗涅女神像
QUEST_20150317_000003	請選擇地區。
QUEST_20150317_000004	選擇
QUEST_20150317_000005	請選擇道具。
QUEST_20150317_000006	選擇群組
QUEST_20150317_000007	請選擇快速開始群組。
QUEST_20150317_000008	選擇地區
QUEST_20150317_000009	請選擇要開始的地區。
QUEST_20150317_000010	轉職選擇
QUEST_20150317_000011	請選擇要進行的職業。
QUEST_20150317_000012	邪靈祭司大師
QUEST_20150317_000013	你想知道這石板是什麼東西嗎？{nl}想知道的話，讓你透過幻影觀看石板製作者的意志。
QUEST_20150317_000014	女神拉伊瑪
QUEST_20150317_000015	當你看到啟示的時候，應該已經過了很長一段的歲月。{nl}我是命運和預知的女神拉伊瑪。{nl}
QUEST_20150317_000016	600年前，我在製作這個啟示的時候，看見了許多悲傷與死亡。{nl}你看到這個啟示代表我所預知的事情成真了。{nl}
QUEST_20150317_000017	第一次的災難已經因魔族而起，女神們都銷聲匿跡了。{nl}雖然我事前已經知道這一切，並試圖想阻止災難發生，但是我的力量實在是太微弱了。{nl}
QUEST_20150317_000018	我為了找到解答，我在漫長的預知夢中徘徊著。{nl}而這個夢的盡頭就是你… 救世者。{nl}
QUEST_20150317_000019	但是魔族不可能放過擁有預知能力的我。{nl}所以在你出現之前，我必須要隱藏自己。{nl}
QUEST_20150317_000020	我決心將自己分裂並沈浸在數個啟示裡。{nl}我在王國四處流浪製造啟示並將啟示隱藏起來，這項工作持續了近千年。
QUEST_20150317_000021	救世者啊！{nl}如果要找回我完整的模樣並阻止魔族的陰謀詭計，{nl}需要找到藏在時間軸裡的所有啟示。
QUEST_20150317_000022	對你來說這個被抹去的神聖使命的重量會讓你感到壓力。{nl}也許你將會經歷無數的試煉和苦難。{nl}
QUEST_20150317_000023	但是只有你才能拯救我和這個世界。{nl}
QUEST_20150317_000024	下個啟示已交給初代聖殿十字軍了。{nl}他會在至高花園等待著你。
QUEST_20150317_000025	完全感受不到邪惡的力量或意志呢。{nl}難道這真的是拉伊瑪女神的啟示… 真是令人驚訝。
QUEST_20150317_000026	來！快回去找烏斯卡吧！{nl}如果是他，他會告訴你該前往何方。{nl}願你的未來伴隨著女神的祝福…
QUEST_20150317_000027	請選擇想要的智能重生。
QUEST_20150317_000028	威廉
QUEST_20150317_000029	使用費為100銀幣。{nl}與其要穿越一群怪物，不如這樣還比較便宜。
QUEST_20150317_000030	坎伯萊
QUEST_20150317_000031	使用費為100銀幣。{nl}這個金額包含了運費、人事費等各項費用。
QUEST_20150317_000032	免費就有點… 對不起。{nl}你明明很清楚，如果再這樣就…
QUEST_20150317_000033	我說不能算你免費啦。{nl}就算你是啟示者，也是有些事可以做，有些不可以做。
QUEST_20150317_000034	流浪商人
QUEST_20150317_000035	我這個可憐人，如果要自我介紹，我不過是隨風飛舞到處流浪的蒲公英孢子。{nl}能夠這樣相遇也是一種特別的緣分，要不要看看好東西啊？
QUEST_20150317_000036	克里斯蒂娜
