QUEST_LV_0300_20150323_000001	為了支援凱爾利斯騎士團，我便離開總部來到此地。{nl}如果有疑問，請前往位於貝魯克堤廣場的總部詢問。
QUEST_LV_0300_20150323_000002	我原本是流動商人。{nl}神樹之日過後，這裡似乎最安全，所以我就定居下來了.. 但其實不然。.
QUEST_LV_0300_20150323_000003	我在四處流浪時見過許多啟示者。{nl}我認為.. 啟示者你之所以特別，並不只是因為強大。
QUEST_LV_0300_20150323_000004	我不是想責怪女神與祭司。{nl}但是要我盲從與等待，似乎有點過分。{nl}
QUEST_LV_0300_20150323_000005	村莊裡的封印被封閉了，有什麼了不起的呢？{nl}我覺得祭司是在平白無故地嚇唬人。
QUEST_LV_0300_20150323_000006	祭司們不想讓人知道村莊裡的封印有多重要。{nl}還說犧牲自己就行了。
QUEST_LV_0300_20150323_000007	希望祭司們能對村民坦白一點。{nl}這樣下去萬一真的發生大事的話..
QUEST_LV_0300_20150323_000008	邪惡的氣息讓森林腐朽，並將其變成生命無法生存之地。{nl}那也是我們村莊最大的問題之一。
QUEST_LV_0300_20150323_000009	女神啊..{nl}村莊的封印真的沒事嗎..
QUEST_LV_0300_20150323_000010	對封印虎視眈眈的魔族將來也會不斷來犯吧。{nl}奧斯特亞女神不在這裡，不知道我們能撐到什麼時候..
QUEST_LV_0300_20150323_000011	只讓祭司解決事情這一點，我們也有很大的錯。{nl}從現在起，我打算把所有真相告訴村民，慢慢地和他們討論。
QUEST_LV_0300_20150717_000012	探測器運轉維護(1)
QUEST_LV_0300_20150717_000013	魔族、女神，以及石化城(1)
QUEST_LV_0300_20150717_000014	探測器運轉維護(2)
QUEST_LV_0300_20150717_000015	魔族、女神，以及石化城(2)
QUEST_LV_0300_20150717_000016	探測器運轉維護(3)
QUEST_LV_0300_20150717_000017	探測器運轉維護(4)
QUEST_LV_0300_20150717_000018	有關超度靈魂
QUEST_LV_0300_20150717_000019	探測器維修中
QUEST_LV_0300_20150717_000020	維修中/MAKING/3/TRACK_AFTER/None
QUEST_LV_0300_20150717_000021	探測器運轉維護(5)
QUEST_LV_0300_20150717_000022	維修中/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000023	Notice/！/零件沒固定好{nl}需要繩子之類的東西！#5
QUEST_LV_0300_20150717_000024	Notice/！/必須取得繩子#5
QUEST_LV_0300_20150717_000025	為了超度靈魂
QUEST_LV_0300_20150717_000026	告訴它現在可以放心了
QUEST_LV_0300_20150717_000027	檢查裝置中/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000028	Notice/！/觸動裝置後靈魂好像跑出去了！{nl}力量正逐漸流失！
QUEST_LV_0300_20150717_000029	Notice/現在似乎能打起精神了#5
QUEST_LV_0300_20150717_000030	只期盼一件事(1)
QUEST_LV_0300_20150717_000031	關於期盼死亡的原因
QUEST_LV_0300_20150717_000032	只期盼一件事(3)
QUEST_LV_0300_20150717_000033	只期盼一件事(2)
QUEST_LV_0300_20150717_000034	我要去找聖職者大師
QUEST_LV_0300_20150717_000035	現在無法協助
QUEST_LV_0300_20150717_000036	破壞終端機(1)
QUEST_LV_0300_20150717_000037	關於本體與終端機
QUEST_LV_0300_20150717_000038	Notice/！/請閃避怪物的攻擊並破壞終端機！#5
QUEST_LV_0300_20150717_000039	破壞終端機(2)
QUEST_LV_0300_20150717_000040	加入炸藥粉末點火中/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000041	Notice/終端機爆炸的同時消失了！#5
