QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20150317_000002	怪物的攻物越來越猛烈了。{nl}雖然已經做好了覺悟，但還是很害怕。
QUEST_LV_0200_20150317_000003	如果明天就會死，今天要我獻出生命也在所不惜。
QUEST_LV_0200_20150317_000004	指揮官 巴塞寧
QUEST_LV_0200_20150317_000005	不論如何都要解決劣質的補給和兵力。{nl}果然還是依序突破卡汀森林每個地點比較好嗎？
QUEST_LV_0200_20150317_000006	雖然大家都很辛苦，但直到完全找回卡汀森林的那一刻為止都不能放棄。
QUEST_LV_0200_20150317_000007	上級長官 皮爾力巴斯
QUEST_LV_0200_20150317_000008	我想要和平的世界。{nl}為了這個目標我要更奮發圖強才行。
QUEST_LV_0200_20150317_000009	為了找回被怪物搶走的森林我什麼都能做。{nl}就算要犧牲性命也在所不惜。
QUEST_LV_0200_20150317_000010	我們前方的部隊已變成皮爾力巴斯大人的專屬部隊了。{nl}只要是皮爾力巴斯大人下達的命令，就算是火坑也會跳。
QUEST_LV_0200_20150317_000011	無論何時都是抱持著今天就是最後一天的覺悟活著。{nl}口袋裡隨身攜帶的遺書就是我們的覺悟。
QUEST_LV_0200_20150317_000012	軍官皮爾利克斯
QUEST_LV_0200_20150317_000013	雖然相較之下，卡汀森林入口算是安全的，不過要進入森林深處，我勸你還是打消念頭吧。
QUEST_LV_0200_20150317_000014	脆弱的貓頭鷹雕像
QUEST_LV_0200_20150317_000015	我的力量越來越弱了。{nl}還有很多靈魂要引導呢…
QUEST_LV_0200_20150317_000016	恐懼的貓頭鷹雕像
QUEST_LV_0200_20150317_000017	森林的神聖力量正在減弱。{nl}現在該怎麼辦才好…
QUEST_LV_0200_20150317_000018	好可怕。{nl}女神在的時候根本不會發生這種事…
QUEST_LV_0200_20150317_000019	老實的貓頭鷹隊長
QUEST_LV_0200_20150317_000020	這片森林是會把貓頭鷹抓來吃的可怕森林。{nl}沒有比勇氣更實在的東西了。
QUEST_LV_0200_20150317_000021	從巨大樹木長出來的那天起，這片森林就變得很恐怖。{nl}特別是樹根水晶連看著都讓人毛骨悚然。
QUEST_LV_0200_20150317_000022	意志的貓頭鷹雕像
QUEST_LV_0200_20150317_000023	好像又有誰被吃掉了。{nl}又少了一個同伴的氣息。
QUEST_LV_0200_20150317_000024	女神賜給我的戰士已經沒剩多少了。{nl}被摧毀後會變成什麼樣子呢？{nl}
QUEST_LV_0200_20150317_000025	這是隊長大人分給我們的力量。{nl}現在不用害怕了。
QUEST_LV_0200_20150317_000026	再也不用害怕了。{nl}絕對不會被抓去吃掉的。
QUEST_LV_0200_20150317_000027	痛苦的貓頭鷹雕像
QUEST_LV_0200_20150317_000028	每天都過得好痛苦。{nl}我應該也很快就會被抓去吃掉。
QUEST_LV_0200_20150317_000029	邪惡氣息漸漸滲透進森林。{nl}女神殿下到底去了哪裡呢？
QUEST_LV_0200_20150317_000030	已順利收到隊長大人的心意了。{nl}會打起精神努力不輸給怪物。
QUEST_LV_0200_20150317_000031	隊長大人如此用心…{nl}在女神殿下回來之前絕對不會被抓去吃掉的。
QUEST_LV_0200_20150317_000032	部下貓頭鷹3
QUEST_LV_0200_20150317_000033	雖然我們總是在這個地方，但擔心我們的女神殿下在哪裡呢？
QUEST_LV_0200_20150317_000034	我們只是為了人類的靈魂而存在的嗎？
QUEST_LV_0200_20150317_000035	士兵 杜米尼克
QUEST_LV_0200_20150317_000036	上頭同時下達了死守崗位及進行搜查的命令。{nl}不懂到底是要我們做什麼才對。
QUEST_LV_0200_20150317_000037	下次什麼命令都好，但一定要跟他們說要確定我們是屬於哪一隊的。{nl}不對。朱利安那邊比較好嗎？
QUEST_LV_0200_20150317_000038	這種程度的怪物應該沒什麼問題，可以直接呈報。{nl}對了，如果你有看到山姆森，請幫我跟他說不要再玩了好好進行搜查。
QUEST_LV_0200_20150317_000039	我會守在這裡，你去貝爾圖伊交叉路搜查吧。{nl}我之後再一個一個回報。
QUEST_LV_0200_20150317_000040	士兵 山姆森
QUEST_LV_0200_20150317_000041	請幫我找出杜米尼克的訂婚戒指。{nl}因為我現在在執行公務無法離開位置。
QUEST_LV_0200_20150317_000042	已經買了跟原本很像的給她還這樣？{nl}真小氣。
QUEST_LV_0200_20150317_000043	這髒東西是什麼？{nl}哎呀，裡面會有戒指嗎？
QUEST_LV_0200_20150317_000044	刀子也砍不進去，不知道要怎麼拿出來。{nl}對了。用火燒開的話會不會就拿得出來了？
QUEST_LV_0200_20150317_000045	既然如此，請幫我拿不那麼厚的東西來。
QUEST_LV_0200_20150317_000046	這種的就可以了。{nl}很好。該怎麼在執行公務中燒它還能不被發現呢。
QUEST_LV_0200_20150317_000047	伊薛希奈堤懸崖上長滿了乾掉的荊棘樹。{nl}我因為警戒任務的關係無法離開位置，這次也麻煩你囉。
QUEST_LV_0200_20150317_000048	啊，如果是在伊薛希奈堤懸崖上的話，就能偷偷燒了。{nl}這是我最後的請求。只要做好點火的準備就行了。
QUEST_LV_0200_20150317_000049	絕對不會再去干涉別人的婚禮。
QUEST_LV_0200_20150317_000050	就說要去廁所然後偷偷燒掉吧。{nl}真是太感謝你了。
QUEST_LV_0200_20150317_000051	士兵 福爾特
QUEST_LV_0200_20150317_000052	天吶，命運書上寫著要我消滅這附近的怪物呢。{nl}我一個人怎麼能辦得到呢？
QUEST_LV_0200_20150317_000053	我一個人真的太吃力了。{nl}但好險有你的幫忙。
QUEST_LV_0200_20150317_000054	真的感動得要落淚了。{nl}謝謝你的幫忙。
QUEST_LV_0200_20150317_000055	指揮官 朱利安
QUEST_LV_0200_20150317_000056	真是多謝。{nl}如果你不介意的話，我還想再借用你一點力量。{nl}
QUEST_LV_0200_20150317_000057	你能不能去貝爾圖伊交叉路上支援指揮官歐路克的部隊呢？
QUEST_LV_0200_20150317_000058	指揮官 歐路克
QUEST_LV_0200_20150317_000059	真是非凡的實力。{nl}我要請朱利安喝一杯了。
QUEST_LV_0200_20150317_000060	這是我在看著鋼鐵巴溫時突然想到的。{nl}這位朋友真的很了不起。
QUEST_LV_0200_20150317_000061	歐路克部隊在經歷了與鋼鐵巴溫的大小戰役後已精疲力盡。{nl}如果你能成為他們的力量，將會堅不可摧。
QUEST_LV_0200_20150317_000062	離開的貓頭鷹雕像
QUEST_LV_0200_20150317_000063	雖然想幫忙淨化荊棘林的士兵，但很可惜的是我沒有那樣的力量。{nl}能夠至少幫忙消滅令士兵頭疼的樹精庫爾嗎？
QUEST_LV_0200_20150317_000064	如果能像以前一樣，往返這條路上的人能越來越多就好了。{nl}因為人們真的很有趣呢。
QUEST_LV_0200_20150317_000065	謝謝。因為我的期望讓你受苦了呢。
QUEST_LV_0200_20150317_000066	很好。在尼爾羅斯街道上失去了我們隊員們的消息。{nl}請幫我找出他們。
QUEST_LV_0200_20150317_000067	怎麼找都找不到他們的話，就請先回來吧。
QUEST_LV_0200_20150317_000068	士兵 卡爾路斯
QUEST_LV_0200_20150317_000069	還有很多同伴在裡面。{nl}請求支援。
QUEST_LV_0200_20150317_000070	士兵 戴伊紐斯
QUEST_LV_0200_20150317_000071	鋼鐵巴溫從德利耶查濕地內攻過來了。{nl}還有很多沒有逃出來的隊員。{nl}
QUEST_LV_0200_20150317_000072	一個人逃出來真是太羞愧了。{nl}
QUEST_LV_0200_20150317_000073	定居的貓頭鷹雕像
QUEST_LV_0200_20150317_000074	我有事想拜託你。{nl}士兵們為毒妖花所苦，我真的覺得很難過。
QUEST_LV_0200_20150317_000075	謝謝。{nl}現在士兵們能安心工作了吧？
QUEST_LV_0200_20150317_000076	謝謝你的溫暖相助。{nl}要是以後成為靈魂再次相見的話，一定會對你很好的。
QUEST_LV_0200_20150317_000077	你就是那位著名的啟示者嗎？{nl}雖然有點難以啟齒，不過真的很巧。我正需要你的幫忙。
QUEST_LV_0200_20150317_000078	啊，命令書總算來了。{nl}請回到指揮官朱利安的身邊。
