ETC_20150317_000001	凱帕
ETC_20150317_000001	凱帕		
ETC_20150317_000002	雖然不是很強的怪物，但是草率攻擊的話，會流眼流的。		
ETC_20150317_000003	巨大凱帕		
ETC_20150317_000004	偶爾會有打算吃菁英凱帕的人，如果你見到，請阻止他。		
ETC_20150317_000005	赤紅凱帕		
ETC_20150317_000006	和一般常識不同，赤紅凱帕比較接近圓形凱帕。		
ETC_20150317_000007	中毒凱帕		
ETC_20150317_000008	怪物		
ETC_20150317_000009	哈明		
ETC_20150317_000010	相對來說，哈明是好對付的怪物，但是牠的外皮可是很堅硬的。		
ETC_20150317_000011	奇奈希		
ETC_20150317_000012	植物根莖變形後的怪物。		
ETC_20150317_000013	變異奇奈希		
ETC_20150317_000014	幽格普斯		
ETC_20150317_000015	幽格普斯的內部構造是還沒有被發現的研究領域。		
ETC_20150317_000016	藍色幽格普斯		
ETC_20150317_000017	灰色幽格普斯		
ETC_20150317_000018	根據成熟度的不同，會使用各種不同的技術進行攻擊的怪物。		
ETC_20150317_000019	獠牙豬		
ETC_20150317_000020	黃色獠牙豬		
ETC_20150317_000021	藍色獠牙豬		
ETC_20150317_000022	要注意的事項很多，但是請不要突然往前刺擊。		
ETC_20150317_000023	綠色獠牙豬		
ETC_20150317_000024	就算怪物化之後還是可獲得肉是牠的優點。		
ETC_20150317_000025	藍色波庫布		
ETC_20150317_000026	報喪女妖		
ETC_20150317_000027	現在因為各種理由踏入魔界的人們，他們的靈魂變成惡靈出現在世上。		
ETC_20150317_000028	赤紅報喪女妖		
ETC_20150317_000029	邪惡亡靈		
ETC_20150317_000030	無法得到女神引渡的靈魂們受到魔族的支配而產生的。		
ETC_20150317_000031	巨大報喪女妖		
ETC_20150317_000032	蜂箱		
ETC_20150317_000033	藍色蜂箱		
ETC_20150317_000034	灰色蜂箱		
ETC_20150317_000035	赤紅蜂箱		
ETC_20150317_000036	野蜘蛛		
ETC_20150317_000037	總是棲息在陰暗森林裡的害蟲，是體積很大的怪物。		
ETC_20150317_000038	暗黑野蜘蛛		
ETC_20150317_000039	赤紅野蜘蛛		
ETC_20150317_000040	雪白野蜘蛛		
ETC_20150317_000041	黃色野蜘蛛		
ETC_20150317_000042	噁心的迪歐尼亞		
ETC_20150317_000043	迪歐尼亞孢子		
ETC_20150317_000044	藍色普拉卡大食花		
ETC_20150317_000045	和變形前相比，體積是變大了，但是變化並不大。再說一次牠以前就是個危險的植物。		
ETC_20150317_000046	暗黑普拉卡大食花		
ETC_20150317_000047	赤紅普拉卡大食花		
ETC_20150317_000048	布貝鬥士		
ETC_20150317_000049	藍色布貝鬥士		
ETC_20150317_000050	赤紅布貝鬥士		
ETC_20150317_000051	布貝鬥士天生就這樣還是透過後天成長的，目前還沒有被揭開。		
ETC_20150317_000052	青苔泥人		
ETC_20150317_000053	灰色青苔泥人		
ETC_20150317_000054	水母怪		
