UI_20180327_000001	{@st41b}可以跟各職業大師{nl}學習特性。{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20180327_000002	{@st43}特性目錄{/}	{@st43}특성 목록{/}				
UI_20180327_000003	{@st59}關閉特性清單。{/}	{@st59}특성리스트를 닫습니다{/}				
UI_20180327_000004	{@st42}只顯示可學習的特性{/}	{@st42}학습 가능한 특성만 표시{/}				
UI_20180327_000005	{@st43}學習特性{/}	{@st43}특성 배우기{/}				
UI_20180327_000006	{@st59}關閉特性視窗。{/}	{@st59}특성창을 닫습니다{/}				
UI_20180327_000007	{@st41b}所持金額{/}	{@st41b}소지금{/}				
UI_20180327_000008	我的特性點數 :	내 특성 포인트 :				
UI_20180327_000009	{@st66b}特性點數購買	{@st66b}특성 포인트 구매				
UI_20180327_000010	{@st66d}特性點數購買	{@st66d}특성 포인트 구매				
UI_20180327_000011	購買比率	구매 비율				
UI_20180327_000012	所持金額	소지금				
UI_20180327_000013	可購買點數	구매 가능 포인트				
UI_20180327_000014	請輸入您要購買的點數。	구매하실 포인트를 입력하세요.				
UI_20180327_000015	消費持有金額	소비 소지금				
UI_20180327_000016	殘餘持有金額	잔여 소지금				
UI_20180327_000017	{@st66b}購買	{@st66b}구매				
UI_20180327_000018	{@st66b}取消	{@st66b}취소				
UI_20180327_000019	隊伍倉庫	팀 창고				
UI_20180327_000020	{@st59}要關閉隊伍倉庫{/}	{@st59}팀 창고를 닫습니다{/}				
UI_20180327_000021	可保管可交易道具。{nl}只有購買VIP的玩家才可以使用銀幣保管。	거래가 가능한 아이템을 보관할 수 있습니다.{nl}실버 보관은 토큰을 구매한 유저만 이용 가능합니다.				
UI_20180327_000022	{@st66b}擴張倉庫	{@st66b}창고 확장				
UI_20180327_000023	{@st59}要擴張倉庫。{/}	{@st59}창고를 확장합니다{/}				
UI_20180327_000024	領取道具	아이템 수령				
UI_20180327_000025	{@st42}道具{/}	{@st42}아이템{/}				
UI_20180327_000026	{@st42}{img silver 20 20}保管金額{/}	{@st42}{img silver 20 20} 보관금액{/}				
UI_20180327_000027	{@st66b}{img in_arrow 20 20}存進銀幣	{@st66b}{img in_arrow 20 20}입금				
UI_20180327_000028	{@st59}存進銀幣{/}	{@st59}입금 합니다.{/}				
UI_20180327_000029	{@st66b}{img chul_arrow 20 20}領出銀幣	{@st66b}{img chul_arrow 20 20}출금				
UI_20180327_000030	{@st59}領出銀幣{/}	{@st59}출금 합니다.{/}				
UI_20180327_000031	{@st42b}{img silver 20 20} 金額{/}	{@st42b}{img silver 20 20} 금액{/}				
UI_20180327_000032	交易時間	거래일시				
UI_20180327_000033	存款	입금				
UI_20180327_000034	提款	출금				
UI_20180327_000035	殘額	잔액				
UI_20180327_000036	我的成就	나의 업적				
UI_20180327_000037	伺服器排名	서버 랭킹				
UI_20180327_000038	{@st59}關閉冒險日誌。{/}	{@st59}모험일지를 닫습니다{/}				
UI_20180327_000039	{@st43b}冒險日誌	{@st43b}모험 일지				
UI_20180327_000040	{@st59}冒險日誌排名{/}	{@st59}모험일지 랭킹{/}				
UI_20180327_000041	{@st59}隊伍戰鬥聯盟排名{/}	{@st59}팀배틀리그 랭킹{/}				
UI_20180327_000042	{@st59}高地防守排名{/}	{@st59}업힐디펜스 랭킹{/}				
UI_20180327_000043	{@st59}主要{/}	{@st59}메인{/}				
UI_20180327_000044	{@st59}怪物{/}	{@st59}몬스터{/}				
UI_20180327_000045	{@st59}道具{/}	{@st59}아이템{/}				
UI_20180327_000046	{@st59}製作{/}	{@st59}제작{/}				
UI_20180327_000047	{@st59}生活{/}	{@st59}생활{/}				
UI_20180327_000048	{@st59}地下城{/}	{@st59}던전{/}				
UI_20180327_000049	{@st59}成長{/}	{@st59}성장{/}				
UI_20180327_000050	{@st59}探險{/}	{@st59}탐험{/}				
UI_20180327_000051	主要	메인				
UI_20180327_000052	隊伍名稱	팀명				
UI_20180327_000053	角色名稱	캐릭명				
UI_20180327_000054	第%s名	%s위				
UI_20180327_000055	%s點	%s점				
UI_20180327_000056	{img test_cooltime 24 24} 每個月1號分數重置。{/}	{img test_cooltime 24 24} 매월 1일마다 점수가 초기화됩니다.{/}				
UI_20180327_000057	{@st41b}靠前排名	{@st41b}상위 랭킹				
UI_20180327_000058	{@st41b}我周圍排名	{@st41b}내 주변 랭킹				
UI_20180327_000059	{@st43b}總獲得分數 %s分	{@st43b}총 획득 점수 %s점				
UI_20180327_000060	下方的排列按鈕	정렬				
UI_20180327_000061	等級	등급				
UI_20180327_000062	種族	종족				
UI_20180327_000063	{@st66b}查看更多怪物	{@st66b}몬스터 더 보기				
UI_20180327_000064	掉落道具	드랍 아이템				
UI_20180327_000065	獲得分數	획득점수				
UI_20180327_000066	{@st66d_y}%s分 / {/}{@st42}%s分{/}	{@st66d_y}%s점 / {/}{@st42}%s점{/}				
UI_20180327_000067	消滅次數	처치횟수				
UI_20180327_000068	{@st41b}棲息地區	{@st41b}서식지역				
UI_20180327_000069	說明	설명문				
UI_20180327_000070	類別	카테고리				
UI_20180327_000071	次類別	하위 카테고리				
UI_20180327_000072	{@st66b}查看更多道具	{@st66b}아이템 더 보기				
UI_20180327_000073	製作	제작				
UI_20180327_000074	生活	생활				
UI_20180327_000075	關聯特性	관련 특성				
UI_20180327_000076	職業	직업				
UI_20180327_000077	總營收	총 매출				
UI_20180327_000078	{@st66b}詳細資料查看	{@st66b}더 보기				
UI_20180327_000079	名稱遞增排序	이름 올림차 순				
UI_20180327_000080	名稱遞減排序	이름 내림차 순				
UI_20180327_000081	釣到魚的次數  %s次	물고기를 낚은 횟수  %s번				
UI_20180327_000082	重量：%s	무게 : %s				
UI_20180327_000083	交易選項	거래 옵션				
UI_20180327_000084	地下城	던전				
UI_20180327_000085	進場等級	입장 레벨				
UI_20180327_000086	難易度	난이도				
UI_20180327_000087	位置	위치				
UI_20180327_000088	清除次數	클리어 횟수				
UI_20180327_000089	等級	레벨				
UI_20180327_000090	星	별				
UI_20180327_000091	地下城位置	던전위치				
UI_20180327_000092	%s次	%s번				
UI_20180327_000093	職業分數  %s分	클래스 점수  %s점				
UI_20180327_000094	隊伍等級 %s	팀 레벨 %s				
UI_20180327_000095	探險	탐험				
UI_20180327_000096	總探索率 %s %	총 탐사율 %s %				
UI_20180327_000097	#NAME?	- 권장레벨				
UI_20180327_000098	#NAME?	- 탐색율				
UI_20180327_000099	種類	종류				
UI_20180327_000100	獲得分數 %s 分	획득 점수 %s 점				
UI_20180327_000101	成就	업적				
UI_20180327_000102	獲得分數 %s分	획득점수 %s점				
UI_20180327_000103	狀態	상태				
UI_20180327_000104	圖鑑效果	콜렉션 효과				
UI_20180327_000105	精神 +6	정신 +6				
UI_20180327_000106	冒險日誌排名	모험일지 랭킹				
UI_20180327_000107	戰績	전적				
UI_20180327_000108	{@st66d_y}%s{/} 戰 {@st66d_y}%s{/} 勝 {@st66d_y}%s{/} 敗	{@st66d_y}%s{/} 전 {@st66d_y}%s{/} 승 {@st66d_y}%s{/} 패				
UI_20180327_000109	分數	점수				
UI_20180327_000110	%s 分	%s 점				
UI_20180327_000111	{@st59}參加{/}	{@st59}참여{/}				
UI_20180327_000112	高地防守排名	업힐디펜스 랭킹				
UI_20180327_000113	累積點數	누적 포인트				
UI_20180327_000114	{@st66b}點數商店{/}	{@st66b}포인트샵{/}				
UI_20180327_000115	{@st66b}地圖探索	{@st66b}맵탐사				
UI_20180327_000116	{@st66b}任務/成就	{@st66b}퀘스트/업적				
UI_20180327_000117	{@st66b}圖鑑	{@st66b}콜렉션				
UI_20180327_000118	{@st66b}個人商店	{@st66b}개인 상점				
UI_20180327_000119	{@st66b}釣魚	{@st66b}낚시				
UI_20180327_000120	{@st59}劍士系列{/}	{@st59}소드맨 계열{/}				
UI_20180327_000121	{@st59}法師系列{/}	{@st59}위자드 계열{/}				
UI_20180327_000122	{@st59}弓箭手系列{/}	{@st59}아처 계열{/}				
UI_20180327_000123	{@st59}牧師系列{/}	{@st59}클레릭 계열{/}				
UI_20180327_000124	{@st66b}排行{/}	{@st66b}랭킹{/}				
UI_20180327_000125	{@st66b}觀戰{/}	{@st66b}관전하기{/}				
UI_20180327_000126	{@st43}{s22}任務情報{/}	{@st43}{s22}퀘스트 정보{/}				
UI_20180327_000127	{@st59}關閉任務情報。{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20180327_000128	地區：%s	지역:%s				
UI_20180327_000129	地區名稱	지역 이름				
UI_20180327_000130	{@st42}{s18}完成的我的角色目錄	{@st42}{s18}완료한 내 캐릭터 목록				
UI_20180327_000131	[%s] 獎勵清單	[%s] 보상리스트				
UI_20180327_000132	ⓘ 可以從巴伊寶拉之翼那裡獲得獎勵。	ⓘ 바이보라 날개에게서 보상 아이템을 획득하실 수 있습니다.				
UI_20180327_000133	查看全部	모두보기				
UI_20180327_000134	全部獲得	모두 받기				
UI_20180327_000135	{@st59}有突發活動。{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20180327_000136	{@st59}有小幫手喔！{/}	{@st59}도움말이 있습니다{/}				
UI_20180327_000137	{@st43}鑑定{/}	{@st43}감정{/}				
