QUEST_LV_0400_20180327_000001	尤克利那斯 	유그리나스				
QUEST_LV_0400_20180327_000002	哎..? 你是看了警告文才過來的嗎..?{nl}我等等再跟你講吧.	어..? 경고문 보고 오신 건가요..?{nl}아니, 이야긴 좀 있다 하겠습니다.				유그리나스
QUEST_LV_0400_20180327_000003	{nl}先吃藥吧.快點啦!{nl}這裡很容易被危險的諾貝禮爾傳染病傳染的地方啊!	{nl}일단 이 약부터 드세요, 얼른.{nl}여긴 위험한 노브리어 역병이 퍼져 있는 곳입니다!				유그리나스
QUEST_LV_0400_20180327_000004	{nl}連瘟疫醫生大師也覺得那是個來路不明的可怕的傳染病呢!{nl}是神樹之日以後,那些來到諾貝禮爾森林避難的居民們發現的.	{nl}플레이그 닥터 마스터께서도 아직 원인을 파악하지 못한 끔찍한 역병이에요.{nl}신수의 날 이후 노브리어 숲에 피난왔던 사람들에게서 발견되었죠.				유그리나스
QUEST_LV_0400_20180327_000005	{nl}要是得了諾貝禮爾傳染病的話,會被折磨得很痛苦的.{nl}趕快把這個藥給吃下去吧!!	{nl}노브리어 역병에 걸리게 되면 끔찍한 고통과 함께 서서히 죽어가게 돼요.{nl}늦기 전에 어서 드세요, 어서!				유그리나스
QUEST_LV_0400_20180327_000006	希望一切都不算太遲.{nl}因為那個藥啊也不算是成品呢!	부디 늦지 않았길 바랍니다.{nl}그 약도 아직 완성된 건 아니거든요.				유그리나스
QUEST_LV_0400_20180327_000007	那個藥比較像是預防針不是治療用的藥呢.{nl}要是被諾貝禮爾의傳染病發現的話就完了啦你趕快吃吧!!	그 약도 아직은 치료제라기보다는 예방약에 가까운 상황이죠.{nl}노브리어의 역병에 걸린 상태에선 아무 소용이 없으니 어서 약을 드세요.				유그리나스
QUEST_LV_0400_20180327_000008	如果覺得有發燒還是頭暈的話.. 有點異狀一定要趕快講喔.	열이 나는 것 같다거나 어지럽다거나.. 조금이라도 이상하면 말해주세요.				유그리나스
QUEST_LV_0400_20180327_000009	你看起來沒甚麼事呢!{nl}我是尤克利那斯 .{nl}我是專門在這裡調查諾貝禮爾傳染病的瘟疫醫生.	괜찮아 보이니 다행이네요.{nl}저는 유그리나스라고 합니다.{nl}이 곳에서 노브리어 역병에 대해 조사하고 있는 플레이그 닥터입니다.				유그리나스
QUEST_LV_0400_20180327_000010	{nl}就像我剛剛跟你說的啦,諾貝禮爾傳染病是在那些難民身上發現的一種恐怖的疾病.{nl}瘟疫醫生大師雖然出現阻止疾病擴散，不過要完全控制住傳染速度大師的能力是有限的.	{nl}노브리어 역병은 아까 말씀드린대로 피난민들 사이에서 발견된 끔찍한 병입니다.{nl}플레이그 닥터 마스터께서 직접 나섰지만 더 이상의 악화를 막는 것이 한계였죠.				유그리나스
QUEST_LV_0400_20180327_000011	{nl}發現進度落後後,為了調查這個傳染病發源地我才被派了過來{nl}跟我一起到這裡來的希凱斯為了進行調查太忙反而錯過了服要的時間點結果得到傳染病了.	{nl}결국 더 이상의 진전이 없자 역병이 시작된 이 곳의 조사를 위해 저를 보내셨습니다.{nl}하지만 저와 함께 온 시카스가 조사하느라 약 먹을 시기를 놓쳐서 역병에 걸렸어요.				유그리나스
QUEST_LV_0400_20180327_000012	{nl}要帶著病患回去那裏太勉強了,我已經幫你請求支援了，,等一下就會有人過來了.{nl}只是覺得這樣兩手空空就回去很悶呢!	{nl}환자를 데리고 돌아가기는 어려워서 지원을 요청했으니 얼마 후면 사람이 올 겁니다.{nl}다만, 아무 소득없이 돌아가야 한다는 게 답답하네요.				유그리나스
QUEST_LV_0400_20180327_000013	{nl}偶爾我也會想到那些被病魔纏身的痛苦的病患們的樣子就真心覺得…	{nl}지금도 끔찍한 고통에 시달리는 환자들을 생각하면 정말..				유그리나스
QUEST_LV_0400_20180327_000014	能幫幫我嗎?{nl}跟第一次見面的你提出這樣的要求真不很不要臉不過..{nl}我是為了那些被病魔纏身的患者們才向你請求的.{nl}	그래 주시겠어요?{nl}처음 뵌 분에게 이런 부탁을 하게 되어서 염치없지만..{nl}고통받고 있는 환자들을 생각해서 부탁드리겠습니다.{nl}				유그리나스
QUEST_LV_0400_20180327_000015	你到愛梅特森林 入口處的話，那裏有個裝滿吸收成份的試驗液的桶子.{nl}如果有任何傳染病的因子就會自動被吸收進那裏面喔. {nl}	에메트 숲 입구 쪽에 가면 공기 중에 떠도는 성분들을 흡수하는 시험액을 담아 둔 통이 있습니다.{nl}역병에 관한 성분이 있다면 시험액에 흡수되었을 겁니다.{nl}				유그리나스
QUEST_LV_0400_20180327_000016	你能不能幫我用那個桶子裝一些試驗液呢?{nl}已經安裝好幾個探測裝置了，應該已經囤積不少了吧.	그러니 그 통에서 시험액을 좀 담아와 주시겠어요?{nl}여러 개 설치해두었으니 골고루 담아와주시면 됩니다.				유그리나스
QUEST_LV_0400_20180327_000017	試驗液裡面應該會有能分析傳染病的因子存在啊..	시험액에 역병을 분석할 만한 성분이 있어야 할텐데..				유그리나스
QUEST_LV_0400_20180327_000018	唉呀找到了呢!{nl}來給我看看吧!{nl}	가져오셨군요.{nl}어디 한 번 살펴보죠.{nl}				유그리나스
QUEST_LV_0400_20180327_000019	呃.. 看起來沒甚麼特別的呢.{nl}空氣中沒有任何傳染病因子啊.	음.. 별다른 점은 보이지 않네요.{nl}공기중에는 역병에 관한 성분이 없나 봅니다..				유그리나스
QUEST_LV_0400_20180327_000020	之前因為覺得很浪費時間做到一半就想放棄, 看來現在還是不得不安裝傳染病感應石了啊!{nl}瘟疫醫生為了探測傳染病的氣息,特別自製的探測裝置.{nl}	시간이 오래 걸려서 포기하고 있던 방법이지만 역병 감지석을 설치해봐야겠네요.{nl}역병의 기운을 감지하기 위해 플레이그 닥터 마스터께서 만드신 장치입니다.{nl}				유그리나스
QUEST_LV_0400_20180327_000021	原本是用來尋找病患的..沒想到用來偵測傳染病的因子也很有效呢!{nl}我會給你一個傳染病感應石你把這個安裝到諾貝禮爾十字路口那禮吧.	원래는 환자를 찾아내는 용도지만.. 역병의 원인을 찾는데도 효과가 있을 거예요.{nl}역병 감지석을 드릴 테니 노브리어 사거리에 설치해주세요.				유그리나스
QUEST_LV_0400_20180327_000022	安裝在諾貝禮爾十字路口空間寬廣的地方就可以了.{nl}再等一下應該就會有反應了吧.	노브리어 사거리에 넓게 세 곳 정도 설치해주시면 됩니다.{nl}그리고 시간이 지나면 뭔가 반응을 볼 수 있을 거예요.				유그리나스
