QUEST_LV_0300_20180327_000001	槍彈者大師	불릿 마커 마스터				
QUEST_LV_0300_20180327_000002	成為槍彈者大師並不是結束，而是開始！{nl}需要持續的精進與訓練，其中對於屬性的訓練最為重要。{nl}訓練場也已經備妥了，現在就立刻開始吧。	불릿 마커 된 건 끝이 아니야 시작이지.{nl}꾸준한 숙달과 훈련이 필요한데 그중에서도 속성에 대한 훈련이 중요해.{nl}훈련장도 꾸려 놓았으니 지금부터 바로 시작해봐.				불릿 마커 마스터
QUEST_LV_0300_20180327_000003	只要沿著這條路走就能抵達訓練場，{nl}我會標示在地圖上，你現在就過去吧！{nl}訓練分數高就會有特殊獎勵，好好表現吧。{nl}	훈련장은 이길을 따라 내려가면 바로 있어.{nl}지도에 표시해줄 테니 바로 가봐.{nl}훈련 점수가 높으면 특별한 보상이 있으니 잘 해보라고.{nl}				불릿 마커 마스터
QUEST_LV_0300_20180327_000004	訓練方法很簡單。{nl}	훈련법은 간단해.{nl}				불릿 마커 마스터
QUEST_LV_0300_20180327_000005	必須使用一般攻擊，攻擊一次後屬性就會消失。{nl}屬性消失後，就能在訓練場補充屬性，只要即時補充屬性進行訓練即可。{nl}千萬別忘記只要攻擊對於補充的屬性較弱的目標就行了。{nl}	일반 공격으로만 공격해야 하고 한번 공격하면 속성이 사라져.{nl}속성이 사라지면 훈련장에서 속성을 충전할 수 있으니 바로바로 속성을 충전해 훈련하면 돼.{nl}충전된 속성에 약한 목표만 공격해야 하니 잊지 말고.{nl}				불릿 마커 마스터
QUEST_LV_0300_20180327_000006	冰優於火，火優於大地，大地優於電、電優於冰，神聖優於黑暗，萬能是所有屬性都很強。	얼음은 불에, 불은 땅에, 땅은 전기에, 전기는 얼음에, 신성은 어둠에, 만능은 모든 속성에 강하지				불릿 마커 마스터
QUEST_LV_0300_20180327_000007	世界所知的我是侍從大師。{nl}而我也是勒肯唯一的生存者。{nl}	세상이 아는 저는 스콰이어 마스터입니다만.{nl}르귄가의 유일한 생존자이기도 합니다.{nl}				스콰이어 마스터
QUEST_LV_0300_20180327_000008	我想以最後一任堂主的身分再次使家門昌盛。{nl}如果你幫忙在勒肯家門的宅邸找到印章，我就把侍從的一切傳授給你。	저는 마지막 당주로서 가문을 다시 일으키려고 합니다.{nl}르귄 가문의 저택에서 인장을 찾아 주신다면 스콰이어의 모든 것을 전수해 드리겠어요.				스콰이어 마스터
QUEST_LV_0300_20180327_000009	不完整也無所謂。{nl}只要有家門的印章，我就能把勒肯之家尚存之事弘揚天下。	완전히 온전하지 않아도 좋습니다.{nl}가문의 인장만 있다면 르귄 가는 아직 살아 있다는 것을 널리 알릴 수 있겠지요.				스콰이어 마스터
QUEST_LV_0300_20180327_000010	沒想到狀況這麼慘… {nl}如果我成為勒肯家門的正式繼承人，絕對不會原諒。{nl}	이렇게 처참한 상태라니.. {nl}제가 르귄 가의 정식 상속자가 되면 절대 용서하지 않을 겁니다.{nl}				스콰이어 마스터
QUEST_LV_0300_20180327_000011	當然在那之前，身為侍從大師，得先好好報答您才行。	물론 그 전에, 스콰이어 마스터로서 당신께 보답하는 것이 먼저이겠지요.				스콰이어 마스터
QUEST_LV_0300_20180327_000012	這是珊瑚平原還是一片汪洋的時候的事。{nl}我曾經與名叫普拉迪斯洛巴斯的大海賊為了王座之位而決鬥。{nl}	이건 산호 평원이 아직 바다였을 시절 이야기다.{nl}나는 블라디슬로바스라는 대해적과 왕좌의 자리를 놓고 결투 한 적이 있었지.{nl}				커세어 마스터
QUEST_LV_0300_20180327_000013	當然是我贏了！ {nl}我本來想把那傢伙的項鍊用來當做證據，結果那項鍊卻掉到海裡去了。{nl}	당연히 내가 이겼지! {nl}그런데 증거로 챙긴 그 녀석의 목걸이를 바다에 빠뜨리고 말았어.{nl}				커세어 마스터
QUEST_LV_0300_20180327_000014	當時因為海很深就放棄了.. {nl}但現在說不定能找到。	그 땐 워낙 깊은 바다라 포기했지만.. {nl}지금이라면 찾을 수 있을지도 모르겠군.				커세어 마스터
QUEST_LV_0300_20180327_000015	只要把項鍊找回來，就能讓那些說我在說大話的傢伙大吃一驚。{nl}應該在克蘭托沿岸那邊。你是我所認同的海賊，應該很快就能找到吧。	그것만 되찾으면 내가 허세라는 녀석들에게 크게 한 방 먹일 수 있어.{nl}크란토 연안쯤일거다. 너는 내가 인정한 커세어니 금방 찾을 수 있겠지.				커세어 마스터
QUEST_LV_0300_20180327_000016	厲害！ 你比烏合之眾強多了。{nl}我將以大海賊的身分把一切傳授給你。	역시! 어중이떠중이들보단 낫군.{nl}대해적인 이 몸이 네게 모든 걸 전수해주마.				커세어 마스터
QUEST_LV_0300_20180327_000017	百夫長應該要懂得捨身為國.. {nl}並且將其視為榮譽。{nl}	센츄리온이라면 왕국을 위해 헌신할 줄 알며.. {nl}그것을 명예로 삼을 줄 알아야 하지.{nl}				센츄리온 마스터
QUEST_LV_0300_20180327_000018	我正在尋找神樹之日當時全軍覆沒的幾個王國軍的軍團旗。{nl}希望你也能為了王國軍的名譽助我一臂之力。	나는 신수의 날 전멸한 몇몇 왕국군의 군단기를 찾고 있다.{nl}자네도 왕국군의 명예를 위해 이 일을 도왔으면 좋겠군.				센츄리온 마스터
QUEST_LV_0300_20180327_000019	聽說神樹之日當時，在對立的訓練場上失聯的王國軍還活著。{nl}雖然我沒抱著太大的指望.. {nl}	신수의 날에 대립의 훈련장에서 연락이 끊긴 왕국군이 있다는 이야기를 들었다.{nl}그들이 생존해있길 바라는건 무리지만.. {nl}				센츄리온 마스터
QUEST_LV_0300_20180327_000020	但至少記得那個部隊為王國奉獻的忠誠之心。	적어도 그 부대가 왕국을 위해 바쳤던 충성심을 기억할 순 있겠지.				센츄리온 마스터
QUEST_LV_0300_20180327_000021	辛苦了。真後悔沒有早點把它找回來。{nl}為了報答你，我教你新的陣型。這陣型很精湛，所以更加強大。	수고했네. 조금만 더 일찍 되찾았으면 좋았을 걸 후회되는군.{nl}보답으로 새로운 진형을 가르쳐 주겠다. 정교한 만큼 더 강력하지.				센츄리온 마스터
QUEST_LV_0300_20180327_000022	如果你是雙酬傭兵，為了王國，有件事你一定要出面。{nl}	자네가 도펠죌트너라면 왕국을 위해 반드시 나서줘야 할 일이 있네.{nl}				도펠죌트너 마스터
QUEST_LV_0300_20180327_000023	雖然我希望親自出馬，但這件事我正悄悄地進行。{nl}變得太引人注目了。	내가 직접 나섰으면 하지만, 조용히 진행하고 있는 일이거든. {nl}너무 눈에 띄게 되지.				도펠죌트너 마스터
QUEST_LV_0300_20180327_000024	謝謝你這麼說。{nl}請你緊密尋找拉明將軍的使者。{nl}	그래 말해주니 고맙군. {nl}자네는 긴밀히 라민 장군의 사절을 찾아주게. {nl}				도펠죌트너 마스터
QUEST_LV_0300_20180327_000025	他在帕薩卡峽谷傳來消息後就失聯了。	파사카 협곡에서의 연락을 마지막으로 소식이 끊겼지.				도펠죌트너 마스터
QUEST_LV_0300_20180327_000026	真遺憾。我想大概是遭到魔族的毒手了。{nl}總之，既然你已經成為雙酬傭兵重要的一員，我會積極支援你。{nl}	안타깝군. 아마 마족에에게 당한 것일 테지.{nl}어쨌든 이걸로 자네도 도펠죌트너의 중요한 일원이 되었으니 내가 적극 지원해 주겠네.{nl}				도펠죌트너 마스터
QUEST_LV_0300_20180327_000027	啊，另外，這件事一定對其他人保密。{nl}我必須用其他方式來尋找聯絡拉明將軍的方法。	아, 그리고 이 일은 다른 사람들에겐 절대 비밀로 해 두게.{nl}라민 장군께는 다른 방법으로 연락할 방법을 찾아야겠어.				도펠죌트너 마스터
QUEST_LV_0300_20180327_000028	我最近正在研究永生。{nl}雖然我進行多方面調查，但聽本人說是最快的，不是嗎？{nl}	최근 불로불사에 대해 연구중이야.{nl}여러 가지로 조사해보고 있지만, 역시 본인한테 듣는 게 제일 아니겠어?{nl}				소서러 마스터
