QUEST_LV_0200_20180327_000001	皮爾力巴斯直屬隊員	필리파스 직속 부대원				
QUEST_LV_0200_20180327_000002	怪物的攻物越來越猛烈了。{nl}雖然已經做好了覺悟，但還是很害怕。	몬스터의 공격이 점점 더 거세집니다.{nl}각오는 되어 있지만, 그래도 두렵습니다.				필리파스 직속 부대원
QUEST_LV_0200_20180327_000003	明天就會倒下去的身體，今天獻上生命也沒有關係。	내일 쓰러질 몸이라면 오늘 목숨을 바쳐도 상관없습니다.				필리파스 직속 부대원
QUEST_LV_0200_20180327_000004	指揮官 巴塞寧	지휘관 바세닌				
QUEST_LV_0200_20180327_000005	不論如何都要解決劣質的補給和兵力。{nl}果然還是依序突破卡汀森林每個地點比較好嗎？	열악한 보급과 병력을 어떻게든 해결 해야해.{nl}역시 카틴 숲을 한 지점씩 모아서 돌파하는 게 좋을까.				지휘관 바세닌
QUEST_LV_0200_20180327_000006	雖然大家都很辛苦，但直到完全找回卡汀森林的那一刻為止都不能放棄。	다들 힘들어하고 있지만 카틴 숲을 온전히 되찾을 때 까진 포기할 수 없네.				지휘관 바세닌
QUEST_LV_0200_20180327_000007	上級長官 皮爾力巴斯	선임장교 필리파스				
QUEST_LV_0200_20180327_000008	我想要和平的世界。{nl}為了這個目標我要更奮發圖強才行。	나는 평화로운 세상을 원하네.{nl}그러기 위해선 내가 더욱 분발해야겠지.				선임장교 필리파스
QUEST_LV_0200_20180327_000009	為了找回被怪物搶走的森林我什麼都能做。{nl}就算要犧牲性命也在所不惜。	몬스터에게 빼앗긴 숲을 되찾기 위해선 뭐든 할 겁니다.{nl}목숨을 걸 가치는 충분합니다.				필리파스 직속 부대원
QUEST_LV_0200_20180327_000010	我們前方的部隊已變成皮爾力巴斯大人的專屬部隊了。{nl}只要是皮爾力巴斯大人下達的命令，就算是火坑也會跳。	저희 전방 부대는 필리파스님의 전속 부대로 이루어져 있습니다.{nl}필리파스님의 명령이라면 불구덩이 속이라도 따라갈 겁니다.				필리파스 직속 부대원
QUEST_LV_0200_20180327_000011	無論何時都是抱持著今天就是最後一天的覺悟活著。{nl}口袋裡隨身攜帶的遺書就是我們的覺悟。	언제나 지금이 마지막일지도 모른다는 생각으로 살아가고 있습니다.{nl}품 안에 항상 지니고 있는 유서가 바로 저희들의 각오입니다.				필리파스 직속 부대원
QUEST_LV_0200_20180327_000012	軍官皮爾利克斯	장교 필릭스				
QUEST_LV_0200_20180327_000013	雖然相較之下，卡汀森林入口算是安全的，不過要進入森林深處，我勸你還是打消念頭吧。	카틴 숲 입구는 그나마 안전한 편이지만 이 이상 깊숙히 들어가는 건 웬만하면 포기하시오.				장교 필릭스
QUEST_LV_0200_20180327_000014	脆弱的貓頭鷹雕像	약한 부엉이 조각상				
QUEST_LV_0200_20180327_000015	我的力量越來越弱了。{nl}還有很多靈魂要引導呢…	제 힘은 점점 약해지고 있어요.{nl}아직도 인도해야 할 영혼이 많은데..				약한 부엉이 조각상
QUEST_LV_0200_20180327_000016	恐懼的貓頭鷹雕像	두려운 부엉이 조각상				
QUEST_LV_0200_20180327_000017	森林的神聖力量正在減弱。{nl}現在該怎麼辦才好…	숲의 신성한 힘이 약해지고 있어요.{nl}이젠 정말 어찌 되려나..				두려운 부엉이 조각상
QUEST_LV_0200_20180327_000018	好可怕。{nl}女神在的時候根本不會發生這種事…	너무 무서워요.{nl}여신께서 계실 땐 이런 일은 없었는데..				두려운 부엉이 조각상
QUEST_LV_0200_20180327_000019	老實的貓頭鷹隊長	성실한 대장 부엉이				
QUEST_LV_0200_20180327_000020	這片森林是會把貓頭鷹抓來吃的可怕森林。{nl}沒有比勇氣更實在的東西了。	이 숲은 부엉이를 잡아 먹는 무시무시한 숲입니다.{nl}용기만큼 절실한 게 없지요.				성실한 대장 부엉이
QUEST_LV_0200_20180327_000021	從巨大樹木長出來的那天起，這片森林就變得很恐怖。{nl}特別是樹根水晶連看著都讓人毛骨悚然。	거대한 나무가 솟아오르고 나서부터 이 숲은 끔찍하게 변했습니다.{nl}특히 나무뿌리 수정은 바라보고만 있어도 겁이 납니다.				성실한 대장 부엉이
QUEST_LV_0200_20180327_000022	意志的貓頭鷹雕像	의지의 부엉이 조각상				
QUEST_LV_0200_20180327_000023	好像又有誰被吃掉了。{nl}又少了一個同伴的氣息。	누군가 또 잡아먹혔나봐요.{nl}제 동료의 기운 하나가 느껴지질 않네요.				의지의 부엉이 조각상
QUEST_LV_0200_20180327_000024	女神賜給我的神聖力已經沒剩多少了。{nl}被摧毀後會變成什麼樣子呢？{nl}	여신께서 주신 신성력이 거의 남아있지 않아요.{nl}부서진 다음엔 어떻게 되는 걸까요?{nl}				의지의 부엉이 조각상
QUEST_LV_0200_20180327_000025	這是隊長大人分給我們的力量。{nl}現在不用害怕了。	대장님께서 나누어 주신 힘이에요.{nl}이젠 두려워하지 않을 겁니다.				의지의 부엉이 조각상
QUEST_LV_0200_20180327_000026	再也不用害怕了。{nl}絕對不會被抓去吃掉的。	더 이상 두렵지 않아요.{nl}절대 잡아먹히지 않을 겁니다.				의지의 부엉이 조각상
QUEST_LV_0200_20180327_000027	痛苦的貓頭鷹雕像	괴로운 부엉이 조각상				
QUEST_LV_0200_20180327_000028	每天都過得好痛苦。{nl}我應該也很快就會被抓去吃掉。	하루하루가 정말 고통스러워요.{nl}아마 저도 곧 잡아먹히겠지요.				괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000029	邪惡氣息漸漸滲透進森林。{nl}女神殿下到底去了哪裡呢？	숲이 점점 사악한 기운으로 물들어가요.{nl}여신께선 어디로 가신 걸까요?				괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000030	已順利收到隊長大人的心意了。{nl}會打起精神努力不輸給怪物。	대장님의 마음 잘 받았습니다.{nl}몬스터에게 지지 않도록 힘낼 겁니다.				괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000031	隊長大人如此用心…{nl}在女神殿下回來之前絕對不會被抓去吃掉的。	대장님께서 이렇게 애써주시는데..{nl}여신께서 돌아오실 때까지 절대로 잡아먹히지 않을 거예요.				괴로운 부엉이 조각상
QUEST_LV_0200_20180327_000032	部下貓頭鷹3	부하 부엉이3				
QUEST_LV_0200_20180327_000033	雖然我們總是在這個地方，但擔心我們的女神殿下在哪裡呢？	우리는 항상 이곳에 있지만, 우리를 걱정하시는 여신께서는 어디 계시지?				부하 부엉이3
QUEST_LV_0200_20180327_000034	我們只是為了人類的靈魂而存在的嗎？	우리는 인간의 영혼을 위해서만 존재하는 걸까?				부하 부엉이3
QUEST_LV_0200_20180327_000035	士兵 杜米尼克	병사 도미니크				
QUEST_LV_0200_20180327_000036	上頭同時下達了死守崗位及進行搜查的命令。{nl}不懂到底是要我們做什麼才對。	자리를 사수하라는 명령과 정찰 명령이 동시에 내려왔습니다.{nl}도대체 어떻게 하라는 건지 모르겠네요.				병사 도미니크
QUEST_LV_0200_20180327_000037	下次什麼命令都好，但一定要跟他們說要確定我們是屬於哪一隊的。{nl}不對。朱利安那邊比較好嗎？	다음엔 어느 쪽이던 좋으니까 소속을 확실히 정해 달라고 꼭 말해야겠어요.{nl}아니다. 줄리안님 쪽이 더 나으려나?				병사 도미니크
QUEST_LV_0200_20180327_000038	這種程度的怪物應該沒什麼問題，可以直接呈報。{nl}對了，如果你有看到山姆森，請幫我跟他說不要再玩了好好進行搜查。	그 정도 몬스터라면 별 문제는 없다고 보고 해도 되겠네요.{nl}참, 혹시 샘슨을 본다면 그만 놀고 정찰이나 하라고 전해주십시오.				병사 도미니크
QUEST_LV_0200_20180327_000039	我會守在這裡，你去貝爾圖伊交叉路搜查吧。{nl}我之後再一個一個回報。	전 여길 지킬 테니까 벨투이 교차로까지 순찰을 나가 주십시오.{nl}보고는 나중에 내가 따로따로 하지요.				병사 도미니크
QUEST_LV_0200_20180327_000040	士兵 山姆森	병사 샘슨				
QUEST_LV_0200_20180327_000041	請幫我找出杜米尼克的訂婚戒指。{nl}因為我現在在執行公務無法離開位置。	도미니크의 약혼반지를 찾아주세요.{nl}전 임무수행중이라 자리를 비울 수가 없습니다.				병사 샘슨
QUEST_LV_0200_20180327_000042	已經買了跟原本很像的給她還這樣？{nl}真小氣。	대충 비슷한 걸로 사다 줬는데도 저런다니까요?{nl}쪼잔하긴.				병사 샘슨
QUEST_LV_0200_20180327_000043	這髒東西是什麼？{nl}哎呀，裡面會有戒指嗎？	이 더러운건 뭐지요?{nl}어라, 안에 반지가 든 건가?				병사 샘슨
QUEST_LV_0200_20180327_000044	刀子也砍不進去，不知道要怎麼拿出來。{nl}對了。用火燒開的話會不會就拿得出來了？	칼이 들어가지도 않고 꺼낼 방법이 없네요.{nl}그렇지. 불로 태워버리면 꺼낼 수 있지 않을까요?				병사 샘슨
QUEST_LV_0200_20180327_000045	既然如此，請幫我拿不那麼厚的東西來。	이왕이면 굵지 않은 걸로 가져다 주십시오.				병사 샘슨
QUEST_LV_0200_20180327_000046	這種的就可以了。{nl}很好。該怎麼在執行公務中燒它還能不被發現呢。	이 정도면 적당하군요.{nl}좋아. 이걸 어떻게 근무 중에 들키지 않고 태울까나.				병사 샘슨
QUEST_LV_0200_20180327_000047	伊薛希奈堤懸崖上長滿了乾掉的荊棘樹。{nl}我因為警戒任務的關係無法離開位置，這次也麻煩你囉。	이쉬시네티 벼랑에 마른 가시 나무가 잔뜩 있을 겁니다.{nl}전 경계 임무 때문에 자리를 비울 수 없으니 이번에도 부탁합니다.				병사 샘슨
QUEST_LV_0200_20180327_000048	啊，如果是在伊薛希奈堤懸崖上的話，就能偷偷燒了。{nl}這是我最後的請求。只要做好點火的準備就行了。	아, 이쉬시네티 벼랑 위쪽이면 몰래 태울 수 있을 겁니다.{nl}제 마지막 부탁입니다. 불 피울 준비만 해 주시면 됩니다.				병사 도미니크
QUEST_LV_0200_20180327_000049	絕對不會再去干涉別人的婚禮。	다신 절대로 남의 결혼식엔 상관 안할 겁니다.				병사 도미니크
QUEST_LV_0200_20180327_000050	就說要去廁所然後偷偷燒掉吧。{nl}真是太感謝你了。	화장실 간다고 하고 몰래 태우지요.{nl}정말 고맙습니다.				병사 도미니크
QUEST_LV_0200_20180327_000051	士兵 福爾特	병사 폴터				
QUEST_LV_0200_20180327_000052	天吶，命運書上寫著要我消滅這附近的怪物呢。{nl}我一個人怎麼能辦得到呢？	세상에, 명령서엔 이 근처 몬스터를 다 제거하라는군요.{nl}어떻게 저 혼자 이 많은 수를 감당하죠?				병사 폴터
QUEST_LV_0200_20180327_000053	我一個人真的太吃力了。{nl}但好險有你的幫忙。	저 혼자서 하긴 너무 버거웠어요.{nl}하지만 당신이 도와주신다니 정말 다행이네요.				병사 폴터
QUEST_LV_0200_20180327_000054	真的感動得要落淚了。{nl}謝謝你的幫忙。	정말 눈물 날 뻔했어요.{nl}도움을 주셔서 정말 감사합니다.				병사 폴터
QUEST_LV_0200_20180327_000055	指揮官 朱利安	지휘관 줄리안				
QUEST_LV_0200_20180327_000056	真是多謝。{nl}如果你不介意的話，我還想再借用你一點力量。{nl}	정말 고맙군.{nl}괜찮다면, 자네의 힘을 좀 더 빌리고 싶네.{nl}				지휘관 줄리안
QUEST_LV_0200_20180327_000057	你能不能去貝爾圖伊交叉路上支援指揮官歐路克的部隊呢？	벨투이 교차로에서 지휘관 오루크 부대를 지원해주지 않겠나?				지휘관 줄리안
QUEST_LV_0200_20180327_000058	指揮官 歐路克	지휘관 오루크				
QUEST_LV_0200_20180327_000059	真是非凡的實力。{nl}我要請朱利安喝一杯了。	엄청난 실력이군.{nl}이거 줄리안에게 한잔 사야겠어.				지휘관 오루크
QUEST_LV_0200_20180327_000060	這是我在看著鋼鐵巴溫時突然想到的。{nl}這位朋友真的很了不起。	아이언바움을 지켜보면서 든 생각인데. {nl}그 친구 참 대단한 친구야.				지휘관 줄리안
QUEST_LV_0200_20180327_000061	歐路克部隊在經歷了與鋼鐵巴溫的大小戰役後已精疲力盡。{nl}如果你能成為他們的力量，將會堅不可摧。	오루크 부대는 아이언바움과의 크고 작은 전투로 지쳐 있네.{nl}자네가 힘이 되어 준다면 아주 든든할 걸세.				지휘관 줄리안
QUEST_LV_0200_20180327_000062	離開的貓頭鷹雕像	떠나가는 부엉이 조각상				
QUEST_LV_0200_20180327_000063	雖然想幫忙淨化荊棘林的士兵，但很惋惜的是我沒有那樣的力量。{nl}能夠至少幫忙消滅令士兵頭疼的樹精庫爾嗎？	가시숲을 정화해 주는 병사들을 돕고 싶은데 제겐 그럴 힘이 없어 안타까워요.{nl}병사들을 괴롭히는 트리굴이라도 퇴치해 주실 수 있을까요?				떠나가는 부엉이 조각상
QUEST_LV_0200_20180327_000064	如果能像以前一樣，往返這條路上的人能越來越多就好了。{nl}因為人們真的很有趣呢。	예전처럼 이 길을 오가는 사람들이 많아졌으면 좋겠어요.{nl}사람들은 정말 재밌거든요.				떠나가는 부엉이 조각상
QUEST_LV_0200_20180327_000065	謝謝你。因為我讓你白白辛苦了。	고마워요. 괜히 저 때문에 고생하시네요.				떠나가는 부엉이 조각상
QUEST_LV_0200_20180327_000066	很好。在尼爾羅斯街道上失去了我們隊員們的消息。{nl}請幫我找出他們。	좋소. 니우러스 가도에서 우리 부대원들의 소식이 끊겼소.{nl}그들의 수색을 부탁하오.				지휘관 오루크
QUEST_LV_0200_20180327_000067	怎麼找都找不到他們的話，就請先回來吧。	만약 찾아봐도 그들이 없다면, 일단은 그냥 돌아오시오.				지휘관 오루크
QUEST_LV_0200_20180327_000068	士兵 卡爾路斯	병사 칼루스				
QUEST_LV_0200_20180327_000069	還有很多同伴在裡面。{nl}請求支援。	아직 안쪽에 동료들이 많습니다.{nl}지원을 부탁드립니다.				병사 칼루스
QUEST_LV_0200_20180327_000070	士兵 戴伊紐斯	병사 다이뉴스				
QUEST_LV_0200_20180327_000071	鋼鐵巴溫從德利耶查濕地內攻過來了。{nl}還有很多沒有逃出來的隊員。{nl}	드리에자 습지에서 아이언바움이 공격해왔습니다.{nl}아직 도망치지 못한 대원들도 있다고요.{nl}				병사 다이뉴스
QUEST_LV_0200_20180327_000072	一個人逃出來真是太羞愧了。{nl}	혼자 도망쳐 나온 게 정말 부끄럽습니다.{nl}				병사 다이뉴스
QUEST_LV_0200_20180327_000073	定居的貓頭鷹雕像	정착한 부엉이 조각상				
QUEST_LV_0200_20180327_000074	我有事想拜託你。{nl}士兵們為毒妖花所苦，我真的覺得很難過。	부탁드리고 싶은 게 있어요.{nl}병사들이 러바인러바 때문에 고생하는 게 너무 안타까워요.				정착한 부엉이 조각상
QUEST_LV_0200_20180327_000075	謝謝。{nl}現在士兵們能安心工作了吧？	감사해요.{nl}이제 병사들이 편하게 작업할 수 있겠죠?				정착한 부엉이 조각상
